arrive_or_depart,schedule,airline,flight_number,gate,terminal
D,2018-01-03T07:10:00,Southwest Airlines,223,C7,4
A,2018-01-03T07:10:00,Southwest Airlines,1406,C1,4
D,2018-01-03T07:15:00,Delta Air Lines,936,16,3
D,2018-01-03T07:15:00,Delta Air Lines,2162,23,3
A,2018-01-03T07:15:00,Southwest Airlines,1661,D3,4
D,2018-01-03T07:20:00,Southwest Airlines,1387,D1,4
A,2018-01-03T07:20:00,Southwest Airlines,416,D6,4
D,2018-01-03T07:25:00,Southwest Airlines,1546,D8,4
A,2018-01-03T07:25:00,Southwest Airlines,863,D7,4
D,2018-01-03T07:30:00,United Airlines,2083,7,2
D,2018-01-03T07:30:00,American Airlines,570,A5,4
D,2018-01-03T07:30:00,Frontier Airlines,1880,25,3
D,2018-01-03T07:30:00,Hawaiian Airlines,35,24,3
A,2018-01-03T07:30:00,Southwest Airlines,987,C13,4
A,2018-01-03T07:39:00,American Airlines,670,A4,4
A,2018-01-03T07:39:00,American Airlines,553,B27,4
A,2018-01-03T07:39:00,American Airlines,3056,B1A,4
D,2018-01-03T07:40:00,Southwest Airlines,313,C11,4
A,2018-01-03T07:42:00,American Airlines,5837,A1,4
D,2018-01-03T07:45:00,American Airlines,549,A3,4
A,2018-01-03T07:45:00,Southwest Airlines,637,C18,4
A,2018-01-03T07:47:00,American Airlines,1107,A14,4
A,2018-01-03T07:48:00,American Airlines,511,A17,4
A,2018-01-03T07:49:00,American Airlines,5823,B20,4
D,2018-01-03T07:50:00,Southwest Airlines,1407,C1,4
A,2018-01-03T07:50:00,American Airlines,5836,B2,4
D,2018-01-03T07:55:00,Southwest Airlines,532,D3,4
A,2018-01-03T07:56:00,American Airlines,1110,A9,4
A,2018-01-03T07:59:00,American Airlines,697,B14,4
A,2018-01-01T08:59:00,American Airlines,1639,A4,4
D,2018-01-01T09:00:00,Southwest Airlines,39,C19,4
D,2018-01-01T09:00:00,Southwest Airlines,1954,D2,4
A,2018-01-01T09:02:00,American Airlines,3165,A1,4
A,2018-01-01T09:02:00,American Airlines,3160,B3,4
A,2018-01-01T09:02:00,American Airlines,5896,,4
A,2018-01-01T09:05:00,American Airlines,3024,B22,4
A,2018-01-01T09:05:00,American Airlines,3132,B15B,4
A,2018-01-01T09:05:00,Southwest Airlines,625,D7,4
A,2018-01-01T09:09:00,American Airlines,5909,B20,4
D,2018-01-01T09:10:00,Southwest Airlines,1033,C11,4
A,2018-01-01T09:10:00,American Airlines,5810,B21,4
A,2018-01-01T09:10:00,Southwest Airlines,963,C17,4
A,2018-01-01T09:14:00,American Airlines,2754,A29,4
D,2018-01-01T09:15:00,Southwest Airlines,595,C6,4
A,2018-01-01T09:15:00,Southwest Airlines,1886,C14,4
A,2018-01-01T09:20:00,Southwest Airlines,1415,C7,4
A,2018-01-01T09:20:00,Southwest Airlines,1816,D8,4
A,2018-01-01T09:20:00,Southwest Airlines,1734,D4,4
D,2018-01-01T09:21:00,Frontier Airlines,1868,25,3
A,2018-01-01T09:25:00,Southwest Airlines,1368,C9,4
A,2018-01-01T09:25:00,Southwest Airlines,1405,C8,4
A,2018-01-01T09:25:00,Southwest Airlines,1556,D1,4
D,2018-01-01T09:30:00,United Airlines,316,8,2
A,2018-01-01T09:30:00,Southwest Airlines,171,D5,4
A,2018-01-01T09:30:00,Southwest Airlines,1506,C16,4
A,2018-01-01T09:30:00,Southwest Airlines,1979,C13,4
A,2018-01-01T09:34:00,Delta Air Lines,1611,17,3
D,2018-01-01T09:35:00,American Airlines,619,A2,4
D,2018-01-01T09:35:00,American Airlines,743,B25,4
D,2018-01-01T09:35:00,American Airlines,3079,B7,4
A,2018-01-01T09:35:00,Southwest Airlines,1864,D3,4
A,2018-01-01T09:35:00,Southwest Airlines,613,D6,4
A,2018-01-01T09:35:00,Southwest Airlines,1547,C18,4
D,2018-01-01T09:36:00,American Airlines,1840,A10,4
D,2018-01-01T09:38:00,American Airlines,652,A17,4
D,2018-01-01T09:40:00,American Airlines,1650,A8,4
D,2018-01-01T09:40:00,American Airlines,532,A23,4
D,2018-01-01T09:40:00,American Airlines,554,A14,4
D,2018-01-01T09:40:00,American Airlines,5875,B20,4
D,2018-01-01T09:40:00,American Airlines,5891,B2,4
A,2018-01-01T09:40:00,Southwest Airlines,858,C3,4
A,2018-01-01T09:40:00,Southwest Airlines,6072,C1,4
D,2018-01-01T09:41:00,American Airlines,5906,B1A,4
D,2018-01-01T09:43:00,American Airlines,595,A11,4
